DATE,Approval
2017-09-13,37.67399
2017-09-14,37.67922
2017-09-15,38.26089
2017-09-16,38.16751
2017-09-17,38.39445
2017-09-18,38.50353
2017-09-19,38.45267
2017-09-20,38.84023
2017-09-21,39.37469
2017-09-22,39.01869
2017-09-23,38.95658
2017-09-24,39.17653
2017-09-25,39.09969
2017-09-26,38.2449
2017-09-27,37.98526
2017-09-28,37.89941
2017-09-29,37.60137
2017-09-30,37.59743
2017-10-01,37.68137
2017-10-02,37.62963
2017-10-03,37.8289
2017-10-04,38.01492
2017-10-05,38.07584
2017-10-06,37.10485
2017-10-07,37.17203
2017-10-08,37.14746
2017-10-09,37.08799
2017-10-10,36.52134
2017-10-11,36.47693
2017-10-12,36.62103
2017-10-13,36.56348
2017-10-14,36.65332
2017-10-15,36.70586
2017-10-16,36.59012
2017-10-17,36.73927
2017-10-18,36.74679
2017-10-19,36.88713
2017-10-20,36.69792
2017-10-21,36.73466
2017-10-22,36.73022
2017-10-23,36.40454
2017-10-24,35.93237
2017-10-25,36.098
2017-10-26,36.19252
2017-10-27,36.12577
2017-10-28,36.12514
2017-10-29,36.28357
2017-10-30,36.08981
2017-10-31,36.13458
2017-11-01,36.73897
2017-11-02,37.38071
2017-11-03,37.21225
2017-11-04,37.28839
2017-11-05,37.24062
2017-11-06,37.05696
2017-11-07,36.89015
2017-11-08,36.9847
2017-11-09,36.87565
2017-11-10,37.11195
2017-11-11,37.19261
2017-11-12,37.29921
2017-11-13,37.26438
2017-11-14,37.54153
2017-11-15,37.50333
2017-11-16,37.56749
2017-11-17,37.49475
2017-11-18,37.66021
2017-11-19,37.64998
2017-11-20,37.67971
2017-11-21,37.27388
2017-11-22,37.46259
2017-11-23,37.49094
2017-11-24,37.49094
2017-11-25,37.52008
2017-11-26,37.45581
2017-11-27,37.45752
2017-11-28,37.3322
2017-11-29,37.72719
2017-11-30,37.37271
2017-12-01,37.08066
2017-12-02,36.94333
2017-12-03,36.93871
2017-12-04,36.96822
2017-12-05,37.34743
2017-12-06,37.17609
2017-12-07,36.42162
2017-12-08,36.52957
2017-12-09,36.50823
2017-12-10,36.33047
2017-12-11,36.2524
2017-12-12,35.99963
2017-12-13,35.46254
2017-12-14,35.57671
2017-12-15,34.9917
2017-12-16,34.93087
2017-12-17,35.97097
2017-12-18,36.25013
