DATE,WILL4500PR
2017-07-31,1265.20
2017-08-01,1268.37
2017-08-02,1259.42
2017-08-03,1255.76
2017-08-04,1260.64
2017-08-07,1261.59
2017-08-08,1257.59
2017-08-09,1250.23
2017-08-10,1230.35
2017-08-11,1232.82
2017-08-14,1247.92
2017-08-15,1241.82
2017-08-16,1244.49
2017-08-17,1224.37
2017-08-18,1222.70
2017-08-21,1223.09
2017-08-22,1235.05
2017-08-23,1233.67
2017-08-24,1235.31
2017-08-25,1238.20
2017-08-28,1238.92
2017-08-29,1238.70
2017-08-30,1247.16
2017-08-31,1258.94
2017-09-01,1264.80
2017-09-04,.
2017-09-05,1251.87
2017-09-06,1254.01
2017-09-07,1250.81
2017-09-08,1252.00
2017-09-11,1266.38
2017-09-12,1272.91
2017-09-13,1273.67
2017-09-14,1272.89
2017-09-15,1277.67
2017-09-18,1284.39
2017-09-19,1283.88
2017-09-20,1288.28
2017-09-21,1285.82
2017-09-22,1289.86
2017-09-25,1289.06
2017-09-26,1291.20
2017-09-27,1305.90
2017-09-28,1308.36
2017-09-29,1311.23
2017-10-02,1323.42
2017-10-03,1326.88
2017-10-04,1326.52
2017-10-05,1330.69
2017-10-06,1329.19
2017-10-09,1324.32
2017-10-10,1327.14
2017-10-11,1327.91
2017-10-12,1327.00
2017-10-13,1326.06
2017-10-16,1326.29
2017-10-17,1323.17
2017-10-18,1326.35
2017-10-19,1325.56
2017-10-20,1332.23
2017-10-23,1323.56
2017-10-24,1326.19
2017-10-25,1318.00
2017-10-26,1322.81
2017-10-27,1331.46
