DATE,1982-84 CPI Adjusted Dollars
1983,314
1984,314
1985,320
1986,327
1987,329
1988,326
1989,322
1990,315
1991,313
1992,314
1993,317
1994,315
1995,314
1996,313
1997,314
1998,321
1999,329
2000,334
2001,336
2002,338
2003,337
2004,338
2005,333
2006,333
2007,335
2008,335
2009,345
2010,342
2011,336
2012,335
2013,333
